play_count,song
726885,SOBONKR12A58A7A7E0
648239,SOAUWYT12A81C206F1
527893,SOSXLTC12AF72A7F54
425463,SOFRQTD12A81C233C0
389880,SOEGIYH12A6D4FC0E3
356533,SOAXGDH12A8C13F8A1
292642,SONYKOW12AB01849C9
274627,SOPUCYA12A8C13A694
268353,SOUFTBI12AB0183F65
244730,SOVDSJC12A58A7A271
241669,SOOFYTN12A6D4F9B35
236494,SOHTKMO12AB01843B0
225652,SOBOUPA12A6D4F81F1
209212,SODJWHY12A8C142CCE
197181,SOLFXKT12AB017E3E0
192884,SOTCMDJ12A6D4F8528
185653,SOFLJQZ12A6D4FADA6
174080,SOTWNDJ12A8C143984
158636,SOUNZHU12A8AE47481
155717,SOUVTSM12AC468F6A7
155529,SOUSMXX12AB0185C24
146978,SOUDLVN12AAFF43658
145725,SOWCKVR12A8C142411
130116,SORJICW12A8C13640D
129868,SOPSOHT12A67AE0235
129069,SOWEHOM12A6BD4E09E
128837,SOKLRPJ12A8C13C3FE
127044,SOBOAFP12A8C131F36
124162,SOPPROJ12AB0184E18
122318,SOPTLQL12AB018D56F
116183,SOLGLUC12AB018A8FA
115134,SONQCXC12A6D4F6A37
114362,SOCVTLJ12A6310F0FD
113560,SOMGVYU12A8C1314FF
112421,SOIZFTE12AB0186842
111615,SOSCIZP12AB0181D2F
111596,SOUNJIO12AB0181339
110757,SODGVGW12AC9075A8D
110240,SOLRGVL12A8C143BC3
109566,SOPXKYD12A6D4FA876
108927,SOZVVRE12A8C143150
105032,SOFKABN12A8AE476C6
103653,SOKUPAO12AB018D576
102247,SOMCAFM12A58A7B024
101969,SOLGPOU12A58A7EA20
100461,SOBFRNE12A6D4F7995
99137,SOXLOQG12AF72A2D55
98854,SOPQLBY12A6310E992
98667,SOSJRJP12A6D4F826F
97488,SOZCDWG12A6D4F81E1
97215,SOTVLQY12A58A798C2
96809,SOXFPND12AB017C9D1
96692,SOCKSGZ12A58A7CA4B
94900,SOLLNTU12A6701CFDC
94502,SODCNJX12A6D4F93CB
94002,SOXWYZP12AF72A42A6
93981,SOHFJAQ12AB017E4AF
91461,SOADJQJ12A8C141D38
91448,SONIQRE12AF72A2B02
89974,SOMGIYR12AB0187973
89589,SOTWSXL12A8C143349
89187,SOQCGHN12AB0181246
88075,SOQZYQH12A8AE468E5
87745,SOUFPNI12A8C142D19
87366,SOULTKQ12AB018A183
87050,SOANQFY12AB0183239
85079,SONNSYV12A8C146BEC
84225,SOBRHVR12A8C133F35
84155,SOWEJXA12A6701C574
83616,SOGPBAW12A6D4F9F22
83255,SOPAYPV12AB017DB0C
82819,SOSZJFV12AB01878CB
81736,SOLWZVR12AB01849C6
81179,SOVDLZN12AB0185BEA
80357,SOZVCRW12A67ADA0B7
79974,SODGJKH12AAA8C9487
78443,SOVWADY12AB0189C63
76893,SOXQYSC12A6310E908
76811,SOVWBYM12A6D4F8A22
75669,SOIZLKI12A6D4F7B61
75540,SOMCMKG12A8C1347BF
74654,SOUJVIT12A8C1451C1
74103,SOHYSXA12AB0186704
73067,SODLLYS12A8C13A96B
72666,SOLRGNF12AB0187CF4
72381,SOMMONH12A6D4F41CD
72259,SONHVVE12AB018D038
72151,SOOJJCT12A6310E1C0
70648,SOXPFLM12A8AE48C50
70470,SOAUFOF12AB0180C65
69679,SOOGNOZ12AAF3B2936
69458,SONOYIB12A81C1F88C
69053,SOWKQYL12AB0183B15
68150,SOBABRB12A6701DF4B
67748,SONDKOF12A6D4F7D70
67403,SOEQJBS12A8AE475A4
66998,SOGSAYQ12AB018BA14
66852,SOFRCGW12A81C21EA6
65966,SOXNZOW12AB017F756
65585,SOEBOWM12AB017F279
65582,SOSROFB12AAF3B4C5D
64374,SOZEBAZ12AF72A80C8
64264,SOJTLHS12A8C13F633
64000,SOPVQLJ12A67AE2281
63951,SOEPZQS12A8C1436C7
63937,SOGTQNI12AB0184A5C
63918,SOWGXOP12A6701E93A
63860,SOTEGWG12AB01897AC
63170,SOAFTRR12AF72A8D4D
62604,SOCNAXF12A6D4F9B34
62438,SOBADEB12AB018275F
61568,SOGCWUH12AC90732B0
61544,SOTNHIP12AB0183131
60787,SOQGVCS12AF72A078D
59810,SOARUPP12AB01842E0
59295,SOGPNGN12A8C143969
58956,SOWYYUQ12A6701D68D
58887,SOJSXJY12A8C13E32E
58694,SODWXJW12AAA8C5C29
58059,SOAKMDU12A8C1346A9
57602,SOISNSU12AC468C0D8
57320,SOQGSUC12A8C13B66D
57178,SOVIZNF12AF72A710A
57023,SOYGKNI12AB0187E6E
56992,SORWLTW12A670208FA
56458,SOWOMMY127F8096DF9
55921,SOHFNKO12AB017C772
55655,SOIPYPB12A8C1360D4
54746,SOBXHDL12A81C204C0
54208,SOKMHKY12AF72AB079
54194,SONHWUN12AC468C014
54173,SOMLYJD12A58A7B155
54149,SOUGCDK12AC95F075F
52841,SOKOXWU12AF72AD1BC
52834,SOWRREB12A6D4FA7CB
52691,SOIOZHO12AB017FE5E
52472,SOKYHYL12A8C13D79D
51755,SOIIOUS12A8AE47E20
51287,SONQEYS12AF72AABC9
51280,SOFCPOU12A8C13BF40
51106,SODOWUC12AC9097E76
51084,SOSLQQJ12AB017BDCC
50925,SOGWJEY12AC9618862
50763,SOUOEMP12A8C13866E
50155,SOQWYAQ12A6D4FB9A3
50099,SOSYOHI12A8C144584
49649,SOTKYBW12A8C13C3EA
49597,SOSPXWA12AB0181875
49126,SOTUARP12A8C13CB54
49119,SOIDDNJ12AC9071B90
49030,SONEWAX12AB018DD3F
48893,SOSJSSU12A6D4F8F41
48575,SOMNTMT12A8C1400F6
48393,SOYABSZ12A81C1FEAC
48042,SOOWVNN12A8C140775
47785,SODCNEE12A6310E037
47603,SOWGCMN12A8C136E44
47453,SOMYXWV12A8C14232E
47210,SOHTCVN12A8C134E46
46809,SOHJOLH12A6310DFE5
45817,SOJKQSF12A6D4F5EE9
45575,SOPREHY12AB01815F9
45558,SODCADR12AF72A1A99
45328,SOHEMBB12A6701E907
45199,SOWRTJD12A8C132704
45151,SOIBLKQ12AB0183E85
44340,SOXAQJS12AB018CBF7
44305,SOBPKPW12A6701E8F9
44250,SONHLJN12A81C2169B
43748,SOWSPUS12AC468BEE3
43640,SOGTDJQ12A8C13324F
43298,SOPBFHP12A8C131F30
43280,SOKUTUM12A6701D9CD
43255,SOYMIMI12AB0181E5C
43055,SOSVPIE12A6D4FA873
42819,SOGLWGG12A6D4F8046
42692,SOUSZSW12AB01800C2
42634,SOERYLG12A6701F07F
42563,SOHFGKG12A6701C429
42429,SOJYBJZ12AB01801D0
42427,SOXVVSM12A8C142224
42348,SOYGHUM12AB018139C
42230,SOEOJHS12AB017F3DC
42183,SOIOESO12A6D4F621D
42059,SOVQJRY12A81C210C0
42054,SOQLUTQ12A8AE48037
42022,SOPABZM12A6D4FC668
41827,SOFVZRE12A8C139783
41816,SOUFWEW12AB0180EB7
41493,SOUKJBT12A6701C4D6
41471,SOKENKR12AB01828F7
41433,SOMRYYN12A6310F0F3
41301,SOEHWGF12A6D4F8B2B
41243,SOMEUED12A6701DBEA
40935,SOZYSDT12A8C13BFD7
40772,SOMBGAL12AB0181F7F
40739,SOEKSGJ12A67AE227E
40679,SOHRQFL12A6D4F3C8A
40660,SOHZPIK12A58A7CCAE
40572,SOYAIPB12A8C143D84
40506,SOUVGJL12AB017FC35
40487,SOVRTPN12AB0184F9E
40480,SOAMIQK12A6701D94F
40170,SOKUAGP12A8C133B94
40082,SOILFUU12AB017C75F
40072,SOBUBLL12A58A795A8
39976,SOTWCDE12AB018909C
39778,SOWCBKV12AC90732A6
39775,SORBBFV12AB017D710
39503,SOQBMFK12A8C13835B
39465,SOOYDAZ12A58A7AE08
39226,SOIMTII12A6D4F662A
39140,SOOEGCA12A6D4F8B80
38985,SOHYLXU12A8C139492
38773,SOAOSDF12A58A779F1
38731,SOHWXEU12A8C1320D1
38639,SOTVLHC12A6701EA31
38577,SOLZEED12A6D4FA8C9
38515,SODEGIQ12A6D4FC6E3
38371,SOLCKAS12A8C14242A
38273,SOCNLEI12A67021565
38132,SOAOAHZ12A8C13AAF1
37957,SOEYVHS12AB0181D31
37942,SOCHTHF12AB017E206
37653,SODEOCO12A6701E922
37541,SOXKOIY12A8C13C1EA
37341,SOXZOMB12AB017DA15
37332,SOYGHOJ12A6701FFBA
37302,SOJYISZ12A8C135F5A
37283,SOFGIVB12A6D4F5923
37130,SOOLULU12A6701FBC4
37110,SOQGOPT12AAF3B2B27
36969,SORALYQ12A8151BA99
36675,SODEAWL12AB0187032
36423,SOPTPWD12A6D4FBD4E
36035,SOBMKJU12A6D4F7128
35925,SONGIPI12A8AE46162
35885,SOIMCDE12A6D4F8383
35713,SOITRTA12A6D4F8261
35629,SOXPDDQ12A58A76829
35603,SOQQAAQ12A67ADE34D
35453,SOPEOGA12AB017B694
35408,SONZWDK12A6701F62B
35404,SOITFCH12A6D4F9478
35380,SOHALKJ12AB017FCC2
35253,SOAVFLR12A8C138576
35245,SOOLYZQ12A6D4FA5B7
35191,SOPSYOY12A8C142E0B
35074,SOBWSGV12AB018B5E0
34831,SOKKKZW12A6D4F7F88
34798,SOUCHPA12AB0184B1A
34671,SOTASGN12AC9075A8F
34540,SONWUZV12AB0180BAD
34506,SOLWRZI12A6D4FC4F0
34504,SOUNNWW12AB018795D
34466,SOSVQNK12AC468D6BE
34418,SOAQMNM12AB0188D7A
34382,SODCLQR12A67AE110D
34063,SOKCXXE12A6D4F5A04
34032,SOAJXWO12A8C1436D0
33897,SOGRAGY12A6D4F7248
33855,SOSJFDH12A8C143096
33624,SOOXLIG12AB0185803
33619,SOFEGST12A58A7D682
33607,SOSLQGG12A6D4F5045
33476,SODASIJ12A6D4F5D89
33451,SOTLHUV12A6D4FC541
33278,SONTQUO12A6D4F7D8B
33178,SONGYFE12AB018562D
33151,SOMTZYU12AB017D632
33016,SOKOSPK12A8C13C088
32990,SOUKXIN12A8C133C7F
32968,SOIKQFR12A6310F2A6
32962,SOQQQMM12A6310DFCC
32933,SORWLJM12A6D4F9C0C
32888,SOTCWRK12AB017E47D
32778,SOUKMKR12A8C141925
32684,SOJSTYO12A8C13F200
32677,SOPCTBB12AF72A1B64
32602,SOZNLBZ12A6D4F639E
32581,SOIZAZL12A6701C53B
32507,SOAYATB12A6701FD50
32351,SOACBLB12AB01871C7
32277,SOADQPP12A67020C82
32199,SOWUTFF12A8C138AB2
32185,SOBBKGF12A8C1311EE
31816,SOETKSY12A8C13C666
31761,SOAZZRU12AB0182B0E
31739,SOTMLOE12A8C133F15
31708,SOTEKMT12A67AD954E
31672,SOFKFXC12AC90732A5
31606,SOGZOIP12A6D4FB934
31516,SOWNIWL12AB017B720
31418,SOABJBU12A8C13F63F
31333,SONVPTP12A6D4F7A34
31277,SOWEFXC12A6D4FA230
31277,SOVPSKL12A670206B9
31174,SODACBL12A8C13C273
